Period;Radius
20.7724316 ;
20.7724316 ;
4.0552842;15.2
4.0552842;15.2
0;17
0;17
0;17
0;17
8617.50952;16.8
8617.50952;16.8
0;12.4
0;12.4
2.91624121;14.36
2.91624121;14.36
3.73548545;21.0
3.73548545;21.0
3.73548545;21.0
3.73548545;21.0
3.73548545;21.0
3.73548545;21.0
16510;0
16510;0
16510;0
3.37077196;9.58
1.271869;0
1.271869;0
0.54937097;1.49681583028193
0.3524728;1.62
0.490047;1.28
0.2242;
0.23818244;1.079
0.672474140;15.10
3.764830;12.0
11.16844233;11.21
8.52349648;10.72
5.7154834 ;14.26 
11.2365985;13.11
11.2365985;13.11
1.4079405;10.4
1.4079405;10.4
1.4079405;10.4
1.4079405;10.4
1.4079405;10.4
1.4079405;10.4
1.97716420;5.25
1.97716420;5.25
1.97716420;5.25
1.97716420;5.25
1.97716420;5.25
1.97716420;5.25
1.97716420;5.25
1.97716420;5.25
4.178062;14.69
6.2463345;16.41
6.2463345;16.41
6.2463345;16.41
6.2463345;16.41
6.9561063;11.89
6.9561063;11.89
6.9561063;11.89
1.4079405;10.4
1.4079405;10.4
1.4079405;10.4
1.4079405;10.4
1.4079405;10.4
1.51088432;1.116
1.51088432;1.116
1.51088432;1.116
1.51088432;1.116
1.51088432;1.116
6.101013;0.920
6.101013;0.920
6.101013;0.920
6.101013;0.920
