prog_no;Cycle;Prog Type;Obs #;Label;Obs type;Target;TOI;RA (deg);Dec (deg);Gmag;Kmag;Teff (K);Planet;Period (d);Radius (Re);Radius (RJ);Teq (K);;;
1274;1;GTO;4;HD149_F322W2;transit;HD 149026;2024;247.6227886;38.3476382;8.01416;6.819;6179;HD 149026 b;2.87589;8.295;0.74;1694;;;
1274;1;GTO;5;HD149_F444W;transit;HD 149026;2024;247.6227871;38.347639;8.01416;6.819;6179;HD 149026 b;2.87589;8.295;0.74;1694;;;
1274;1;GTO;1;HD189_F322W2;eclipse;HD 189733;4470;300.1821154;22.70927748;7.41432;5.541;5052;HD 189733 b;2.21857567;12.666;1.13;1193;;;
1274;1;GTO;2;HD209_F322W2;transit;HD 209458;5972;330.7950861;18.88420499;7.50866;6.308;6091;HD 209458 b;3.52474859;15.581;1.39;1477;;;
1274;1;GTO;3;HD209_F444W;transit;HD 209458;5972;330.7950861;18.88420504;7.50866;6.308;6091;HD 209458 b;3.52474859;15.581;1.39;1477;;;
1274;1;GTO;9;W19_PRISM;eclipse;WASP-19;655;148.4166597;-45.65907168;12.1088;10.481;5616;WASP-19 b;0.78883852;15.861;1.415;2117;;;
1274;1;GTO;10;W77_G395;eclipse;WASP-77 A;398;37.15571231;-7.060673249;10.0966;8.405;5617;WASP-77 A b;1.36002854;13.787;1.23;1691;;;
1279;1;GTO;2;TRAPPIST-1 b Eclipse1;eclipse;TRAPPIST-1;;346.6283852;-5.044529629;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1279;1;GTO;3;TRAPPIST-1 b Eclipse1;eclipse;TRAPPIST-1;;346.6283906;-5.044532336;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1279;1;GTO;4;TRAPPIST-1 b Eclipse1;eclipse;TRAPPIST-1;;346.6283789;-5.044526372;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1279;1;GTO;5;TRAPPIST-1 b Eclipse1;eclipse;TRAPPIST-1;;346.6283799;-5.044526914;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1279;1;GTO;6;Repeat Visit 1.1;eclipse;TRAPPIST-1;;346.6282193;-5.044445033;15.6451;10.296;2566;TRAPPIST-1 b;1.510826;1.116;0.1;399;;;
1280;1;GTO;1;WASP-107 b transit LRS;transit;WASP-107;1905;188.3862415;-10.14621147;11.174;8.637;4425;WASP-107 b;5.7214742;10.536;0.94;745;;;
1281;1;GTO;1;HAT-P-12 b MIRI;transit;HAT-P-12;1844;209.388236;43.49321352;12.4197;10.108;4650;HAT-P-12 b;3.2130598;10.749;0.959;957;;;
1281;1;GTO;2;HAT-P-12 b NIRSPEC long;transit;HAT-P-12;1844;209.3882524;43.49321742;12.4197;10.108;4650;HAT-P-12 b;3.2130598;10.749;0.959;957;;;
1281;1;GTO;3;HAT-P_12 b NIRISS;transit;HAT-P-12;1844;209.3882342;43.49321309;12.4197;10.108;4650;HAT-P-12 b;3.2130598;10.749;0.959;957;;;
1312;1;GTO;1;SOSS Transit;transit;HAT-P-26;5632;213.1566351;4.059099705;11.4641;9.581;5079;HAT-P-26 b;4.23452;7.062;0.63;1044;;;
1312;1;GTO;3;G395H Transit;transit;HAT-P-26;5632;213.1566346;4.059101544;11.4641;9.581;5079;HAT-P-26 b;4.23452;7.062;0.63;1044;;;
1312;1;GTO;6;LRS Eclipse;eclipse;HAT-P-26;5632;213.1566346;4.059101314;11.4641;9.581;5079;HAT-P-26 b;4.23452;7.062;0.63;1044;;;
1312;1;GTO;104;G395H Eclipse;eclipse;HAT-P-26;5632;213.1566357;4.059097171;11.4641;9.581;5079;HAT-P-26 b;4.23452;7.062;0.63;1044;;;
1331;1;GTO;1;Prism Transit 1;transit;TRAPPIST-1;;346.628466;-5.04452456;15.6451;10.296;2566;TRAPPIST-1 e;6.101013;0.92;0.082;251;;;
1331;1;GTO;2;Prism Transit 2;transit;TRAPPIST-1;;346.6285527;-5.044569001;15.6451;10.296;2566;TRAPPIST-1 e;6.101013;0.92;0.082;251;;;
1331;1;GTO;3;Prism Transit 3;transit;TRAPPIST-1;;346.6284616;-5.044522337;15.6451;10.296;2566;TRAPPIST-1 e;6.101013;0.92;0.082;251;;;
1331;1;GTO;104;Prism Transit 4;transit;TRAPPIST-1;;346.6284833;-5.044533445;15.6451;10.296;2566;TRAPPIST-1 e;6.101013;0.92;0.082;251;;;
